evntName,lat,lon,depth,mag,maxAmp,spCen,rmsA,maxPFA,maxFA,maxPF_FA,Energy,rect,azmth,indAngl,Dip,DipRec,ccD,ccS,xotsu,ccnAb2D,ccnAb2S,ypicD,ypicS,ccnRel2D,ccnRel2S,ccAb2D,ccAb2S,ccRel2D,ccRel2S,xp2D,xp2S,xpp2D,xpp2S,semD,semS,skwnss,semblanceD,semblanceS,envelopD,envelopS,udD,udS,ud2D,ud2S,class
1_20140709_231237,30.009105,-91.137991,1825,-0.3,798.850484,207.476139,3.48762,20.644865,146.333333,0.105005,7373.029286,0.92589,13.077601,63.173154,26.826846,63.173154,0.135682,0.317875,969,0.059813,0.050883,152,175,0.00219,0.00222,0.06554,0.000502,-0.000088,0.008473,0.041921,0.041786,0.001458,0.010618,0.211556,0.221933,-5.270463,58,40,1.838526,6.567136,5305.217207,23237.93703,83302079.48,1448975564,Deep
1_20140714_162353,30.00786,-91.143757,1463,-0.47,798.850484,207.476139,3.48762,20.644865,146.333333,0.105005,7373.029286,0.92589,13.077601,63.173154,26.826846,63.173154,0.135682,0.317875,969,0.059813,0.050883,152,175,0.00219,0.00222,0.06554,0.000502,-0.000088,0.008473,0.041921,0.041786,0.001458,0.010618,0.211556,0.221933,-5.270463,58,40,1.838526,6.567136,5305.217207,23237.93703,83302079.48,1448975564,Deep
1_20140715_223707,30.018597,-91.122822,1103,0.64,5290.366215,170.822853,33.261678,427.583692,132.466667,2.173049,3333168.85,0.949236,44.12983,74.484395,15.515605,74.484395,0.106519,0.256254,2435,0.069231,0.059254,157,175.4,0.001646,0.001692,0.156183,0.160713,0.013705,-0.026663,0.0276,0.027703,0.012997,0.007053,0.188937,0.215711,-1.054093,40.4,38.8,1.570463,4.597615,1709.807427,21091.52998,34783202.64,1322143215,Deep
1_20140715_223807,30.01787,-91.121177,1099,-0.25,2107.417959,163.477677,7.029718,184.584023,110.5,0.405509,844511.6943,0.960923,50.9857,76.066267,13.933733,76.066267,0.137073,0.273026,1522.666667,0.063409,0.054428,154.5,174.5,0.00146,0.001496,0.063375,0.002828,0.005952,0.007273,0.027905,0.027925,-0.015425,0.000111,0.195747,0.229283,-5.270463,44.5,42.5,1.625734,4.69227,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140721_073705,30.010021,-91.140296,1703,0.34,7730.543631,158.542845,44.217,499.304671,133.592593,2.824249,3692304.719,0.96194,42.975926,65.103884,24.880243,65.103884,0.105581,0.261695,7746,0.061964,0.053274,152.666667,176,0.00138,0.001427,0.106811,0.101719,0.000976,-0.017742,0.026062,0.026155,0.001311,0.034707,0.198403,0.226778,-4.099249,40.555556,35,1.525898,3.483276,20399.68594,26880.00067,1176469492,2341161020,Deep
1_20140721_073718,30.009968,-91.14038,1774,0.13,7730.543631,158.542845,44.217,499.304671,133.592593,2.824249,3692304.719,0.96194,42.975926,65.103884,24.880243,65.103884,0.105581,0.261695,7746,0.061964,0.053274,152.666667,176,0.00138,0.001427,0.106811,0.101719,0.000976,-0.017742,0.026062,0.026155,0.001311,0.034707,0.198403,0.226778,-4.099249,40.555556,35,1.525898,3.483276,20399.68594,26880.00067,1176469492,2341161020,Deep
1_20140721_073753,30.010128,-91.140802,1916,-0.16,6977.388333,189.18995,44.322518,480.12864,150.333333,2.908888,3761847.727,0.939261,17.392323,72.091627,17.860755,72.091627,0.109494,0.272106,963,0.060607,0.051883,152.333333,176.333333,0.001762,0.001819,0.13242,0.137128,-0.008836,-0.027592,0.031799,0.031867,0.006372,0.066604,0.204668,0.228873,-5.270463,43.666667,28.666667,1.673196,4.809572,56964.85802,39386.08379,9069584272,8404896643,Deep
1_20140803_130332,30.013218,-91.126479,1314,-0.66,2543.607117,148.811523,8.210417,239.230409,98.555556,0.505677,1123557.916,0.9726,63.621733,80.363972,9.636028,80.363972,0.137537,0.258076,819,0.064608,0.055609,155.333333,174.333333,0.001217,0.001255,0.062653,0.003603,0.007965,0.006873,0.023233,0.023305,-0.021053,-0.003392,0.190478,0.231733,-5.270463,40,43.333333,1.554803,4.067314,13211.18798,25644.64862,482204888,1813683230,Deep
1_20140815_174340,30.009287,-91.139376,1700,-0.21,2681.096558,155.57322,11.41339,195.023737,102.066667,0.932605,783661.1952,0.966364,43.464877,64.709503,25.290497,64.709503,0.120019,0.259544,2358.333333,0.063983,0.055144,152.2,174,0.001429,0.001465,0.06332,0.007695,0.003095,0.006557,0.025035,0.025088,-0.011009,0.010548,0.194158,0.227947,-3.162278,44.8,42.6,1.572525,4.109205,20399.68594,26880.00067,1176469492,2341161020,Deep
1_20140815_174453,30.011297,-91.140562,1800,-0.21,1671.2288,178.143831,5.849018,129.937637,122.444444,0.305341,565465.4727,0.949245,38.349667,71.768563,18.231437,71.768563,0.136609,0.287975,894,0.06221,0.053246,153.666667,174.666667,0.001703,0.001738,0.064097,0.002053,0.003939,0.007673,0.032577,0.032545,-0.009797,0.003613,0.201017,0.226833,-5.270463,49,41.666667,1.696664,5.317225,13211.18798,25644.64862,482204888,1813683230,Deep
